Description,Price,Rating,ReviewCount,Url
"Acer Aspire 5 Intel Core i5 11th Gen (8 GB/512 GB SSD/Intel Iris Xe Graphics/Windows 11 Home) A514-54 Pure Silver(14 inch Full HD Display, 1.45 Kg)","₹42,990",3.7 out of 5 stars,483,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMjU0MzI1NjI5MjA2Mjg1OjE2NzA4MjA5MjI6c3BfYXRmX25leHQ6MjAwODIxMzg3ODYzOTg6OjA6Og&url=%2FAcer-Graphics-Windows-A514-54-Display%2Fdp%2FB0BFXDP9J3%2Fref%3Dsr_1_33_sspa%3Fcrid%3D3VP0SAVW3TZS7%26keywords%3Dlaptop%26qid%3D1670820922%26sprefix%3Dlaptop%252Caps%252C214%26sr%3D8-33-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"HP 14s, 12th Gen Intel Core i5 16GB RAM/512GB SSD 14-inch(35.6 cm) Micro-Edge, FHD Laptop/Intel Iris Xe Graphics/Alexa/Dual Speakers/Win 11/Backlit KB/MSO 2021/1.41 Kg, 14s-dy5005TU","₹61,999",3.9 out of 5 stars,366,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMjU0MzI1NjI5MjA2Mjg1OjE2NzA4MjA5MjI6c3BfYXRmX25leHQ6MjAwNzg2NTAyMDM0OTg6OjA6Og&url=%2FHP-Micro-Edge-Graphics-Speakers-14s-dy5005TU%2Fdp%2FB0B5B4M47C%2Fref%3Dsr_1_34_sspa%3Fcrid%3D3VP0SAVW3TZS7%26keywords%3Dlaptop%26qid%3D1670820922%26sprefix%3Dlaptop%252Caps%252C214%26sr%3D8-34-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"HP 15s, 12th Gen Intel Core i5 16GB RAM/512GB SSD 15.6-inch(39.6 cm) Micro-Edge Anti-Glare FHD Laptop/Win 11/Intel Iris Xe Graphics/Dual Speakers/Alexa/Backlit KB/MSO/Fast Charge, 15s- fq5112TU","₹63,768",3.9 out of 5 stars,104,https://www.amazon.in/HP-Micro-Edge-Anti-Glare-15s-fq5112TU/dp/B0B6F6HN37/ref=sr_1_35?crid=3VP0SAVW3TZS7&keywords=laptop&qid=1670820922&sprefix=laptop%2Caps%2C214&sr=8-35
Acer Predator Helios 500 Gaming Laptop (11Th Gen Intel Core I9/17.3 Inches 4K Uhd Display/64Gb Ddr4 Ram/2Tb Ssd/1Tb HDD/RTX 3080 Graphics/Windows 10 Home/Per Key RGB Backlit Keyboard) Ph517-52,"₹4,32,435",5.0 out of 5 stars,4,https://www.amazon.in/Acer-Predator-Graphics-Keyboard-Ph517-52/dp/B09W99QWTD/ref=sr_1_36?crid=3VP0SAVW3TZS7&keywords=laptop&qid=1670820922&sprefix=laptop%2Caps%2C214&sr=8-36
"Lenovo ThinkBook 15 AMD Ryzen 5 5500U 15.6"" (39.62cm) FHD 220 Nits Antiglare Thin and Light Laptop (16GB/512GB SSD/Windows 11/MS Office/Mineral Grey/1.7 Kg), 21A4A09RIH","₹54,490",4.2 out of 5 stars,57,https://www.amazon.in/Lenovo-ThinkBook-39-62cm-Antiglare-21A4A09RIH/dp/B0B2DDX3M7/ref=sr_1_37?crid=3VP0SAVW3TZS7&keywords=laptop&qid=1670820922&sprefix=laptop%2Caps%2C214&sr=8-37
"Acer Aspire 5 Gaming Laptop Intel Core i5 12th gen (12-Cores) Processor (16 GB/512 GB SSD/Windows 11 Home/4GB Graphics/NVIDIA GeForce RTX 2050) A515-57G (15.6 inch Full HD Display, Steel Gray, 1.8 Kg)","₹60,990",3.9 out of 5 stars,259,https://www.amazon.in/Acer-12-Cores-Processor-Graphics-A515-57G/dp/B0B5KTSVTG/ref=sr_1_38?crid=3VP0SAVW3TZS7&keywords=laptop&qid=1670820922&sprefix=laptop%2Caps%2C214&sr=8-38
"Hp Pavilion 15 12Th Gen Intel Core I5 16Gb Sdram/512Gb Ssd 15.6 Inches Fhd,IPS,Anti-Glare,Eyesafe Display/Alexa/Backlit Kb/Fpr/Windows 11 Home/Mso 2021/1.75Kg, 15-Eg2035Tu, Fog Blue","₹70,790",4.1 out of 5 stars,31,https://www.amazon.in/Pavilion-Anti-Glare-Eyesafe-Display-15-Eg2035Tu/dp/B09Y985TSS/ref=sr_1_39?crid=3VP0SAVW3TZS7&keywords=laptop&qid=1670820922&sprefix=laptop%2Caps%2C214&sr=8-39
"MSI GF63 Thin, Intel 10th Gen. i5-10500H, 40CM FHD 144Hz Gaming Laptop (8GB/512GB NVMe SSD/Windows 11 Home/Nvidia GTX1650 4GB GDDR6/Black/1.86Kg), 10SC-848IN","₹49,990",3.5 out of 5 stars,12,https://www.amazon.in/MSI-i5-10500H-Windows-GTX1650-10SC-848IN/dp/B0B917J4TY/ref=sr_1_40?crid=3VP0SAVW3TZS7&keywords=laptop&qid=1670820922&sprefix=laptop%2Caps%2C214&sr=8-40
"Acer Extensa 15 Lightweight Laptop 11th Gen Intel Core i3 Processor with 15.6"" (39.6 cms) Full HD Display- (8 GB RAM/256GB SSD/Windows 11 Home/Intel UHD Graphics /1.7Kg/Black) EX215-54","₹32,890",4.0 out of 5 stars,411,https://www.amazon.in/Acer-Lightweight-Processor-Display-Graphics/dp/B0B5ZMZ8GF/ref=sr_1_41?crid=3VP0SAVW3TZS7&keywords=laptop&qid=1670820922&sprefix=laptop%2Caps%2C214&sr=8-41
"Acer Extensa 15 Lightweight Laptop Intel Core i3 11th Gen Processor (4 GB RAM/256GB SSD/Windows 11 Home/Intel UHD Graphics /1.7Kg/Black) EX215-54 with 15.6"" (39.6 cms) Full HD Display","₹29,990",4.0 out of 5 stars,411,https://www.amazon.in/Acer-Lightweight-Processor-Display-EX215-54/dp/B09STHP9PX/ref=sr_1_42?crid=3VP0SAVW3TZS7&keywords=laptop&qid=1670820922&sprefix=laptop%2Caps%2C214&sr=8-42
