Description,Price,Rating,ReviewCount,Url
"Acer Aspire 5 Intel Core i5 11th Gen Thin & Light Laptop- (8 GB/512 GB SSD/Windows 11 Home/Intel Iris Xe Graphics/Pure Silver/1.45 KG/MS Office),14-inch (35.56 cms) Full HD IPS Display ,A514-54","₹60,890",3.7 out of 5 stars,483,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NDIxMzUwNTg5Nzk5MDI3OjE2NzA4MjA5MTY6c3BfYXRmX25leHQ6MjAwODE0OTk5OTc4OTg6OjA6Og&url=%2FAcer-14-inch-Laptop-Graphics-A514-54%2Fdp%2FB09RF4YLCJ%2Fref%3Dsr_1_17_sspa%3Fcrid%3D3VP0SAVW3TZS7%26keywords%3Dlaptop%26qid%3D1670820916%26sprefix%3Dlaptop%252Caps%252C214%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
Acer Nitro 5 Gaming Laptop AMD Ryzen7-6800H- (Windows 11 Home/16 GB/ 1 TB SSD/NVIDIA GeForce RTX 3060 6 GB Graphics/165Hz)| AN515-46 with 39.6 cm (15.6 Inch) IPS Display,"₹1,29,990",,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NDIxMzUwNTg5Nzk5MDI3OjE2NzA4MjA5MTY6c3BfYXRmX25leHQ6MjAwOTQ4NDY5NzY0OTg6OjA6Og&url=%2FAcer-Ryzen7-6800H-Windows-Graphics-AN515-46%2Fdp%2FB0B9HH6X5S%2Fref%3Dsr_1_18_sspa%3Fcrid%3D3VP0SAVW3TZS7%26keywords%3Dlaptop%26qid%3D1670820916%26sprefix%3Dlaptop%252Caps%252C214%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"HP ProBook 440 G8 Notebook PC, 11th Gen Intel Core i5-1135G7 14 inch(35.6cm) HD Laptop(8GB RAM/512GB SSD/Intel Irix Xe Graphics/Win 11/Pike Silver Aluminium/1.38 Kg) - 6G9R3PA","₹50,990",3.7 out of 5 stars,43,https://www.amazon.in/HP-ProBook-440-G8-i5-1135G7/dp/B0BGPCLVBD/ref=sr_1_19?crid=3VP0SAVW3TZS7&keywords=laptop&qid=1670820916&sprefix=laptop%2Caps%2C214&sr=8-19
"HP 14s, 12th Gen Intel Core i5 16GB RAM/512GB SSD 14-inch(35.6 cm) Micro-Edge, FHD Laptop/Intel Iris Xe Graphics/Alexa/Dual Speakers/Win 11/Backlit KB/MSO 2021/1.41 Kg, 14s-dy5005TU","₹61,999",3.9 out of 5 stars,366,https://www.amazon.in/HP-Micro-Edge-Graphics-Speakers-14s-dy5005TU/dp/B0B5B4M47C/ref=sr_1_20?crid=3VP0SAVW3TZS7&keywords=laptop&qid=1670820916&sprefix=laptop%2Caps%2C214&sr=8-20
"ASUS ROG Strix G17, 17.3-inch (43.94 cms) FHD 144Hz, AMD Ryzen 7 4800H, RTX 3050 Ti 4GB Graphics, Gaming Laptop (16GB/1TB SSD/Windows 11//Gray/2.4 kg), G713IE-HX040W","₹84,990",4.5 out of 5 stars,68,https://www.amazon.in/ASUS-17-3-inch-RTX-3050-Ti-Graphics-G713IE-HX040W/dp/B0B3DQ36P7/ref=sr_1_21?crid=3VP0SAVW3TZS7&keywords=laptop&qid=1670820916&sprefix=laptop%2Caps%2C214&sr=8-21
"HP Pavilion 14 12th Gen Intel Core i5 16GB SDRAM/512GB SSD 14 inch(35.6cm) IPS Micro-Edge FHD Laptop/Intel UHD Graphics/B&O/Win 11/Alexa Built-in/Backlit KB/FPR/MSO 2021/Natural Silver, 14-dv2014TU","₹68,999",4.2 out of 5 stars,150,https://www.amazon.in/HP-Pavilion-Micro-Edge-Graphics-14-dv2014TU/dp/B0B1M9HYBT/ref=sr_1_22?crid=3VP0SAVW3TZS7&keywords=laptop&qid=1670820916&sprefix=laptop%2Caps%2C214&sr=8-22
"Lenovo IdeaPad Slim 1 AMD Ryzen 3 3250U 15.6"" (39.62cm) FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/3months Game Pass/Cloud Grey/1.6Kg), 82R10049IN","₹36,000",4.0 out of 5 stars,275,https://www.amazon.in/Lenovo-IdeaPad-39-62cm-Windows-82R10049IN/dp/B0B4JRH895/ref=sr_1_23?crid=3VP0SAVW3TZS7&keywords=laptop&qid=1670820916&sprefix=laptop%2Caps%2C214&sr=8-23
"HP Pavilion Plus, 12th Gen Intel Core i7 16GB RAM/1TB SSD 14 inch(35.6 cm),OLED,400 nits,UWVA, Eye Safe Laptop/Intel Iris Xe Graphics/Backlit KB/B&O/FPR/Win 11/Alexa Built-in/MSO 2021, 14-eh0024TU","₹95,546",4.0 out of 5 stars,89,https://www.amazon.in/HP-Pavilion-Graphics-Backlit-14-eh0024TU/dp/B0B3J21ZVB/ref=sr_1_24?crid=3VP0SAVW3TZS7&keywords=laptop&qid=1670820916&sprefix=laptop%2Caps%2C214&sr=8-24
"HP Pavilion x360 11th Gen Intel Core i7 14 inch(35.6 cm) FHD,IPS, Multitouch 2-in-1 Laptop(16GB RAM/512GB SSD/Backlit KB/Intel Iris Xe Graphics/Pen/Alexa Built-in/MSO/1.52Kg) 14-dy1050TU, Spruce Blue","₹82,490",4.4 out of 5 stars,19,https://www.amazon.in/HP-Pavilion-Multitouch-Graphics-14-dy1050TU/dp/B09Y98LXTT/ref=sr_1_25?crid=3VP0SAVW3TZS7&keywords=laptop&qid=1670820916&sprefix=laptop%2Caps%2C214&sr=8-25
"ASUS ROG Zephyrus Duo 16 Dual Screen Laptop, 16"" (40.64 cm) UHD+/FHD+ 120Hz/240Hz/3ms, AMD Ryzen 9 6900HX, 16GB RTX 3080 Ti, Gaming Laptop (32GB/2TB SSD/Win 11/Office/Black/2.55 Kg), GX650RXZ-LB226WS","₹3,96,990",4.0 out of 5 stars,6,https://www.amazon.in/ASUS-Zephyrus-Screen-Laptop-GX650RXZ-LB226WS/dp/B0B5S2ZJ8H/ref=sr_1_26?crid=3VP0SAVW3TZS7&keywords=laptop&qid=1670820916&sprefix=laptop%2Caps%2C214&sr=8-26
